SKU,Name,Description,Short description,Regular price,Categories,Length (mm),Width (mm),Height (mm),Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s)
BIN100,Brema 100Kg Slimline Storage Bin. Suits New G Series Tm Series Vm350A. Requires,"<p>The Brema BIN100 stainless steel storage bin stores 100kg of ice and is compatible with several VM, TM & G Ice Maker models. Featuring an insulated polyethylene moulded tank to ensure long lasting, quality ice, the BIN100 generously stores ice to meet peak demand times for a range of applications.</p>
<p>&nbsp;</p>
<p><strong>Features</strong></p>
<ul>
    <li>Can be coupled with: G160/280/510, TM140/250/450, VM350</li>
    <li>100kg storage capacity</li>
    <li>Stainless steel 18/8 construction</li>
    <li>Polyethylene moulded tank for insulation</li>
    <li>Piano-hinged door</li>
</ul>
<p>&nbsp;</p>
<p><strong>Benefits</strong></p>
<ul>
    <li>Suitable for use with large variety of ice maker models</li>
    <li>Polyethylene insulation designed for maximum ice retention</li>
    <li>Piano-hinged door allows for safe, easy access to ice</li>
    <li>Durable stainless steel exterior</li>
    <li>Perfect ice storage solution for operators with larger outputs</li>
</ul>
<p>&nbsp;</p>
<p>Warranty: 12 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/BIN100.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/BIN100_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/BIN100_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/BIN100_3D.dwg"" target=""_blank"">3D</a></p>
",,2346.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",815.0,560.0,1000.0,/wp-uploads/comcater/brema/BIN100.jpg,Brand,BREMA,Height,1000.0,Depth,815.0,Width,560.0
BIN120,Brema 120Kg Slimline Storage Bin With Cover Assembly. Suits Vm350A,"<p>The Brema BIN120 stainless steel storage bin stores 120kg of ice and is compatible with the VM350A Ice Maker. Featuring an insulated polyethylene moulded tank to ensure long lasting, quality ice, the BIN120 generously stores ice to meet peak demand times for a range of applications.</p>
<p>&nbsp;</p>
<p><strong>Features</strong></p>
<ul>
    <li>Suitable for use with the VM350A Ice Maker</li>
    <li>120kg storage capacity</li>
    <li>Stainless steel 18/8 construction</li>
    <li>Polyethylene moulded tank for insulation</li>
    <li>Piano-hinged door</li>
</ul>
<p>&nbsp;</p>
<p><strong>Benefits</strong></p>
<ul>
    <li>Polyethylene insulation designed for maximum ice retention</li>
    <li>Piano-hinged door allows for safe, easy access to ice</li>
    <li>Durable stainless steel exterior</li>
    <li>Perfect ice storage solution for operators with larger outputs</li>
</ul>
<p>&nbsp;</p>
<p>Warranty: 12 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/BIN120.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/BIN120_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/BIN120_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/BIN120_3D.dwg"" target=""_blank"">3D</a></p>
",,1475.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",810.0,560.0,900.0,/wp-uploads/comcater/brema/BIN120.jpg,Brand,BREMA,Height,900.0,Depth,810.0,Width,560.0
BIN200,Brema 200Kg Storage Bin.  Requires Cover Assembly,"<p>The Brema BIN200 stainless steel storage bin stores 200kg of ice and is compatible with a large variety of Ice Makers. Featuring an insulated polyethylene moulded tank to ensure long lasting, quality ice, the BIN200 generously stores ice to meet peak demand times for a range of applications.</p>
<p>&nbsp;</p>
<p><strong>Features</strong></p>
<ul>
    <li>Can be coupled with: C150, VM350/500/900, TM250/450, G160/280/510</li>
    <li>200kg storage capacity</li>
    <li>Stainless steel 18/8 construction</li>
    <li>Polyethylene moulded tank for insulation</li>
    <li>Piano-hinged door</li>
</ul>
<p>&nbsp;</p>
<p><strong>Benefits</strong></p>
<ul>
    <li>Suitable for use with large variety of ice maker models</li>
    <li>Polyethylene insulation designed for maximum ice retention</li>
    <li>Piano-hinged door allows for safe, easy access to ice</li>
    <li>Durable stainless steel exterior</li>
    <li>Perfect ice storage solution for operators with larger outputs</li>
</ul>
<p>&nbsp;</p>
<p>Warranty (Parts/Labour): 24 / 24 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/BIN200.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/BIN200_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/BIN200_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/BIN200_3D.dwg"" target=""_blank"">3D</a></p>
",,2421.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",790.0,870.0,1000.0,/wp-uploads/comcater/brema/BIN200.jpg,Brand,BREMA,Height,1000.0,Depth,790.0,Width,870.0
BIN240PE,Brema 240Kg Storage Bin.  Requires Cover Assembly,"<p>The Brema BIN240PE polyethylene storage bin stores 240kg of ice and is compatible with a large variety of Ice Makers. Featuring an insulated polyethylene moulded tank to ensure long lasting, quality ice, the BIN240PE generously stores ice to meet peak demand times for a range of applications.</p>
<p>&nbsp;</p>
<p><strong>Features</strong></p>
<ul>
    <li>Can be coupled with: C150, VM350/500/900, TM250/450, G160/280/510</li>
    <li>240kg storage capacity</li>
    <li>Durable moulded polyethylene construction</li>
    <li>Polyethylene moulded tank for insulation</li>
    <li>Piano-hinged door</li>
</ul>
<p>&nbsp;</p>
<p><strong>Benefits</strong></p>
<ul>
    <li>Suitable for use with large variety of ice maker models</li>
    <li>Polyethylene insulation designed for maximum ice retention</li>
    <li>Piano-hinged door allows for safe, easy access to ice</li>
    <li>Durable, polyethylene outer shell for long lasting usage and minimises OH&S safety risk</li>
    <li>Perfect ice storage solution for operators with larger outputs</li>
</ul>
<p>&nbsp;</p>
<p>Warranty (Parts/Labour): 24 / 24 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/BIN240PE.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/BIN240PE_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/BIN240PE_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/BIN240PE_3D.dwg"" target=""_blank"">3D</a></p>
",,2095.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",942.0,790.0,1053.0,/wp-uploads/comcater/brema/BIN240PE.jpg,Brand,BREMA,Height,1053.0,Depth,942.0,Width,790.0
BIN240PE-GREY,Brema 180Kg Storage Bin in Grey.  Requires Cover Assembly,"<p>Warranty: 12 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/BIN240PE-GREY.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/BIN240PE-GREY_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/BIN240PE-GREY_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/BIN240PE-GREY_3D.dwg"" target=""_blank"">3D</a></p>
","<p class=""non-stock-note"">NON-STOCK ITEM</p>",2095.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",,,,/wp-uploads/comcater/brema/BIN240PE-GREY.jpg,Brand,BREMA,Height,,Depth,,Width,
BIN350,Brema Bin 350 S-Steel. Up To 350Kg Storage. C300. Vm500-900-1700. G250-500. M350,"<p>The Brema BIN350 stainless steel storage bin stores an impressive 350kg of ice and is compatible with a large variety of Ice Makers. Featuring an insulated polyethylene moulded tank to ensure long lasting, quality ice, the BIN350 generously stores ice to meet peak demand times for a range of applications.</p>
<p>&nbsp;</p>
<p><strong>Features</strong></p>
<ul>
    <li>Can be coupled with: C300, VM500/900/1700, TM250/450, G280/510, M350/600</li>
    <li>350kg storage capacity</li>
    <li>Stainless steel 18/8 construction</li>
    <li>Polyethylene moulded tank for insulation</li>
    <li>Piano-hinged door</li>
</ul>
<p>&nbsp;</p>
<p><strong>Benefits</strong></p>
<ul>
    <li>Suitable for use with large variety of ice maker models</li>
    <li>Polyethylene insulation designed for maximum ice retention</li>
    <li>Piano-hinged door allows for safe, easy access to ice</li>
    <li>Durable stainless steel exterior</li>
    <li>Perfect ice storage solution for operators with larger outputs</li>
</ul>
<p>&nbsp;</p>
<p><strong>Specifications</strong></p>
<ul>
    <li>Volts: 240</li>
</ul>
<p>&nbsp;</p>
<p>Warranty (Parts/Labour): 24 / 24 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/BIN350.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/BIN350_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/BIN350_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/BIN350_3D.dwg"" target=""_blank"">3D</a></p>
",,3991.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",790.0,1250.0,1000.0,/wp-uploads/comcater/brema/BIN350.jpg,Brand,BREMA,Height,1000.0,Depth,790.0,Width,1250.0
BIN550VDS,Brema 550Kg Storage Bin.  Requires Cover Assembly,"<p>The Brema BIN350 stainless steel storage bin is the largest Ice Storage Bin available holding an impressive 550kg of ice and is compatible with a large variety of Ice Makers. Featuring an insulated polyethylene moulded tank to ensure long lasting, quality ice, the BIN550 generously stores ice to meet peak demand times for a range of applications.</p>
<p>&nbsp;</p>
<p><strong>Features</strong></p>
<ul>
    <li>Suitable for use with TM450, G510 (x2), G1000, M350/600/800/1500</li>
    <li>550kg storage capacity, the largest available</li>
    <li>Hospital grade stainless steel construction</li>
    <li>Polyethylene moulded tank for insulation</li>
    <li>Two piano-hinged doors</li>
</ul>
<p>&nbsp;</p>
<p><strong>Benefits</strong></p>
<ul>
    <li>Suitable for use with large variety of ice maker models</li>
    <li>Polyethylene insulation designed for maximum ice retention</li>
    <li>Piano-hinged doors allows for safe, easy access to ice</li>
    <li>Hospital grade stainless steel for maximum reliability</li>
    <li>Perfect ice storage solution for large operators</li>
</ul>
<p>&nbsp;</p>
<p>Warranty: 12 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/BIN550VDS.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/BIN550VDS_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/BIN550VDS_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/BIN550VDS_3D.dwg"" target=""_blank"">3D</a></p>
","<p class=""non-stock-note"">NON-STOCK ITEM</p>",10809.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",1060.0,1110.0,1915.0,/wp-uploads/comcater/brema/BIN550VDS.jpg,Brand,BREMA,Height,1915.0,Depth,1060.0,Width,1110.0
C150A,Brema 13G Modular Cuber Head. No Bin. Up To 155Kg Production,"<p>Brema's C150A 13g Ice Cube Maker produces 155kg per day of artisan crystalline ice cubes for the true connoisseur. The elegant and impactful 13g Cube maximises profits by holding its temperature and melts vastly slower than its competitors, meaning your beverage on the rocks truly stays on the rocks.</p>
<p>&nbsp;</p>
<p>Connection: 240v 15a</p>
<p>Energy: 1400W</p>
<p>Type of Ice: 13g</p>
<p>Production (in 24 hours): 155kg</p>
<p>&nbsp;</p>
<p><strong>Features</strong></p>
<ul>
    <li>Huge 155kg per day ice production and compatible with the 200-300kg storage bins</li>
    <li>Electromechanical operation that does not use Printed Circuit Boards</li>
    <li>Hospital grade stainless steel exterior and interior that never rusts or corrodes</li>
    <li>Air cooling system is rated at 21°C ambient and 15°C water</li>
    <li>Stainless steel spray arms and internal filters are all detachable</li>
</ul>
<p>&nbsp;</p>
<p><strong>Benefits</strong></p>
<ul>
    <li>Comes with its own water filter & pressure limiting valve, saving you over $300</li>
    <li>No tools required or panels removed to clean spray arms and filters, meaning quick easy cleaning</li>
    <li>21°C ambient and 15°C water ratings give an accurate production average for the Australian climate</li>
    <li>individual cube moulds gradually build cubes as it freezes for long lasting crystalline cubes</li>
    <li>The perfect unit for restaurants, hotels and bars with large ice production needs</li>
</ul>
<p>&nbsp;</p>
<p><strong>Specifications</strong></p>
<ul>
    <li>Volts: 240</li>
    <li>Amps: 15</li>
</ul>
<p>&nbsp;</p>
<p>Warranty (Parts/Labour): 24 / 24 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/C150A.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/C150A_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/C150A_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/C150A_3D.dwg"" target=""_blank"">3D</a></p>
",,5622.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",555.0,862.0,720.0,/wp-uploads/comcater/brema/C150A.jpg,Brand,BREMA,Height,720.0,Depth,555.0,Width,862.0
C150A-18GR,Brema 18G Modular Cuber Head.No Bin.Up To 155Kg Production,"<p>Brema Modular Cuber Head,no bin,up to 150kg production.18g cubes</p>
<p>&nbsp;</p>
<p>Warranty: 12 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/C150A-18GR.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/C150A-18GR_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/C150A-18GR_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/C150A-18GR_3D.dwg"" target=""_blank"">3D</a></p>
","<p class=""non-stock-note"">NON-STOCK ITEM</p>",5622.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",555.0,862.0,720.0,/wp-uploads/comcater/brema/C150A-18GR.jpg,Brand,BREMA,Height,720.0,Depth,555.0,Width,862.0
C150A-HC,Brema Modular Cuber Head. No Bin. R290 Refrigerant. Up To 155Kg Production. 13G,"<p><strong>Specifications</strong></p>
<ul>
    <li>Volts: 240</li>
    <li>Amps: 15</li>
</ul>
<p>&nbsp;</p>
<p>Warranty (Parts/Labour): 36 / 36 months</p>
<p>&nbsp;</p>
<p><a href=""/wp-uploads/comcater/brema/C150A-HC.pdf"" target=""_blank"">Specsheet</a></p>
<p>CAD: <a href=""/wp-uploads/comcater/brema/C150A-HC_P.dwg"" target=""_blank"">Plan</a> | <a href=""/wp-uploads/comcater/brema/C150A-HC_S.dwg"" target=""_blank"">Side</a> | <a href=""/wp-uploads/comcater/brema/C150A-HC_3D.dwg"" target=""_blank"">3D</a></p>
","<p class=""non-stock-note"">NON-STOCK ITEM</p>",5622.0,"Beverage, Beverage > Ice Machines, Refrigeration, Refrigeration > Ice Machines",555.0,862.0,720.0,/wp-uploads/comcater/brema/C150A-HC.jpg,Brand,BREMA,Height,720.0,Depth,555.0,Width,862.0
