MODEL,PRODUCT NAME,DESCRIPTION/KEY FEATURES,PRODUCT CATEGORY,"PRODUCT WIDTH
(mm)","PRODUCT DEPTH
(mm)","PRODUCT HEIGHT
(mm)","PACKED
WEIGHT
(kg's)","PACKED
VOLUME
(m³)","PRODUCT
CAPACITY","POWER
DELIVERY",BRAND,IMAGES,CAD DRAWING,"PRODUCT
ORIGIN",BROCHURE,WARRANTY,"RRP
(ex GST)",ACCESSORIES,"RELATED
MODELS",product order,
DM21W,Roband Milkshake Mixer White,"2 speed, 18,000RPM on low and 22,000 RPM on high motor, saturn and stainless steel beaters included, separate two speed on/off switch with protective cover, white - also available in Red, Black, Graphite, Seaspray and Metallic, takes standard 710ml cup, stainless steel cup inc.710ml","Beverage, Beverage > Milkshake Mixers",205,220,482,7,0.034,710ml,150w,ROBAND,DM21W Milkshake Mixer.jpg,DM21_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $420.00 ,WA132,"DM21R
DM21B
DM21G
DM21S
DM21M",1,
DM21R,Roband Milkshake Mixer Red,"2 speed, 18,000RPM on low and 22,000 RPM on high motor, saturn and stainless steel beaters included, separate two speed on/off switch with protective cover, white - also available in Red, Black, Graphite, Seaspray and Metallic, takes standard 710ml cup, stainless steel cup inc.710ml","Beverage, Beverage > Milkshake Mixers",205,220,482,7,0.034,710ml,150w,ROBAND,DM21R Milkshake Mixer.jpg,DM21_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $420.00 ,WA132,"DM21W
DM21B
DM21G
DM21S
DM21M",2,
DM21B,Roband Milkshake Mixer Black,"2 speed, 18,000RPM on low and 22,000 RPM on high motor, saturn and stainless steel beaters included, separate two speed on/off switch with protective cover, white - also available in Red, Black, Graphite, Seaspray and Metallic, takes standard 710ml cup, stainless steel cup inc.710ml","Beverage, Beverage > Milkshake Mixers",205,220,482,7,0.034,710ml,150w,ROBAND,DM21B Milkshake Mixer.jpg,DM21_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $420.00 ,WA132,"DM21W
DM21R
DM21G
DM21S
DM21M",3,
DM21G,Roband Milkshake Mixer Graphite,"2 speed, 18,000RPM on low and 22,000 RPM on high motor, saturn and stainless steel beaters included, separate two speed on/off switch with protective cover, white - also available in Red, Black, Graphite, Seaspray and Metallic, takes standard 710ml cup, stainless steel cup inc.710ml","Beverage, Beverage > Milkshake Mixers",205,220,482,7,0.034,710ml,150w,ROBAND,DM21G Graphite Milkshake Mixer.jpg,DM21_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $420.00 ,WA132,"DM21W
DM21R
DM21B
DM21S
DM21M",4,
DM21M,Roband Milkshake Mixer Metallic,"2 speed, 18,000RPM on low and 22,000 RPM on high motor, saturn and stainless steel beaters included, separate two speed on/off switch with protective cover, white - also available in Red, Black, Graphite, Seaspray and Metallic, takes standard 710ml cup, stainless steel cup inc.710ml","Beverage, Beverage > Milkshake Mixers",205,220,482,7,0.034,710ml,150w,ROBAND,DM21M Metallic Milkshake Mixer.jpg,DM21_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $420.00 ,WA132,"DM21W
DM21R
DM21B
DM21W
DM21R",5,
DM21S,Roband Milkshake Mixer Seaspray,"2 speed, 18,000RPM on low and 22,000 RPM on high motor, saturn and stainless steel beaters included, separate two speed on/off switch with protective cover, white - also available in Red, Black, Graphite, Seaspray and Metallic, takes standard 710ml cup, stainless steel cup inc.710ml","Beverage, Beverage > Milkshake Mixers",205,220,482,7,0.034,710ml,150w,ROBAND,DM21S Seaspray Milkshake Mixer.jpg,DM21_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $420.00 ,WA132,"DM21W
DM21R
DM21B
DM21W
DM21B",6,
GSA610S,"Roband Grill Station 6 slice, smooth plates","Six sandwich capacity, smooth top plate, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional ribbed top plate or non stick coating. 9.6 Amp. 6 slice","Benchtop, Benchtop > Sandwich Press",435,490,220,21,0.120,6 slice,2200w,ROBAND,GSA610S Open 45deg.jpg,GS6 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months, $990.00 ,"RC6
PGS605
PGS610","GSA610R
GSA610ST
GSA610RT
",8,
GSA610R,"Roband Grill Station 6 slice, ribbed top plate","Six sandwich capacity, ribbed top plate, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional smooth top plate or non stick coating. 9.6 Amp. 6 slice","Benchtop, Benchtop > Sandwich Press",435,490,220,21,0.120,6 slice,2200w,ROBAND,GSA610R Open 45deg.jpg,GS6 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months, $991.00 ,"RC6
PGS605
PGS610","GSA610S
GSA610ST
GSA610RT",9,
GSA610ST,"Roband Grill Station 6 slice, smooth non stick plates","Six sandwich capacity, non stick coating, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional ribbed top plate. 9.6 Amp. 6 slice","Benchtop, Benchtop > Sandwich Press",435,490,220,21,0.120,6 slice,2200w,ROBAND,GSA610ST Open 45deg.jpg,GS6 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,085.00 ","RC6
PGS605
PGS610",GSA610RT,10,
GSA610RT,"Roband Grill Station 6 slice, non stick with ribbed top plate","Six sandwich capacity, ribbed top plate, non stick coating, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional smooth top plate. 9.6 Amp. 6 slice","Benchtop, Benchtop > Sandwich Press",435,490,220,21,0.120,6 slice,2200w,ROBAND,GSA610RT Open 90deg.jpg,GS6 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,086.00 ","RC6
PGS605
PGS610",GSA610ST,11,
